filename,column,datatype,description
certificates.csv,LMK_KEY,string,Individual lodgement identifier. Guaranteed to be unique and can be used to identify a certificate in the downloads and the API.
certificates.csv,ADDRESS1,string,First line of the address
certificates.csv,ADDRESS2,string,Second line of the address
certificates.csv,ADDRESS3,string,Third line of the address
certificates.csv,POSTCODE,string,The postcode of the property
certificates.csv,BUILDING_REFERENCE_NUMBER,string,Unique identifier for the property.
certificates.csv,ASSET_RATING,integer,Energy Performance Asset Rating. The CO₂ emissions from the actual building in comparison to a Standard Emission Rate. (kg CO₂/m²)
certificates.csv,ASSET_RATING_BAND,string,Energy Performance Asset Rating converted into an energy band/grade into a linear 'A+ to G' scale (where A+ is the most energy efficient and G the least energy efficient)
certificates.csv,PROPERTY_TYPE,string,Describes the type of building that is being inspected. Based on planning use class.
certificates.csv,INSPECTION_DATE,date,The date that the inspection was actually carried out by the energy assessor
certificates.csv,LOCAL_AUTHORITY,string,Office for National Statistics (ONS) code. Local authority area in which the building is located.
certificates.csv,CONSTITUENCY,string,Office for National Statistics (ONS) code. Parliamentary constituency in which the building is located.
certificates.csv,COUNTY,string,County in which the building is located (where applicable)
certificates.csv,LODGEMENT_DATE,date,Date lodged on the Energy Performance of Buildings Register
certificates.csv,TRANSACTION_TYPE,string,Type of transaction that triggered EPC. One of: mandatory issue (marketed sale); mandatory issue (non-marketed sale); mandatory issue (property on construction); mandatory issue (property to let); voluntary re-issue (a valid epc is already lodged); voluntary (no legal requirement for an epc); not recorded. Transaction types may be changed over time.
certificates.csv,NEW_BUILD_BENCHMARK,string,
certificates.csv,EXISTING_STOCK_BENCHMARK,string,The Benchmark value of existing stock for this type of building
certificates.csv,BUILDING_LEVEL,string,Building Complexity Level based on Energy Assessor National Occupation Standards
certificates.csv,MAIN_HEATING_FUEL,string,Main Heating fuel for the building is taken as the fuel which delivers the greatest total thermal output for space or water heating
certificates.csv,OTHER_FUEL_DESC,string,Text description of unspecified fuel type if 'Other' is selected for Main Heating Fuel
certificates.csv,SPECIAL_ENERGY_USES,string,Special energy uses discounted. This only appears on the Recommendations Report.
certificates.csv,RENEWABLE_SOURCES,string,On-site renewable energy sources. This only appears on the Advisory Report.
certificates.csv,FLOOR_AREA,integer,"The total useful floor area is the total of all enclosed spaces measured to the internal face of the external walls, i.e. the gross floor area as measured in accordance with the guidance issued from time to time by the Royal Institute of Chartered Surveyors or by a body replacing that institution. (m2)"
certificates.csv,STANDARD_EMISSIONS,decimal,Standard Emission Rate is determined by applying a fixed improvement factor to the emissions from a reference building. (kg CO₂/m²/year).
certificates.csv,TARGET_EMISSIONS,decimal,Standard Emission Rate is determined by applying a fixed improvement factor to the emissions from a reference building. (kg CO₂/m²/year).
certificates.csv,TYPICAL_EMISSIONS,decimal,Typical Emission Rate.
certificates.csv,BUILDING_EMISSIONS,decimal,Building Emissions Rate. Annual CO₂ emissions from the building. Decimal (kg CO₂/m²)
certificates.csv,AIRCON_PRESENT,string,Air Conditioning System. Does the building have an air conditioning system?
certificates.csv,AIRCON_KW_RATING,decimal,Air conditioning System. Rating in kW
certificates.csv,ESTIMATED_AIRCON_KW_RATING,decimal,"Air Conditioning System. If exact rating unknown, what is the estimated total effective output rating of the air conditioning system"
certificates.csv,AC_INSPECTION_COMMISSIONED,integer,"One of:1=Yes, inspection completed; 2=Yes, inspection commissioned; 3=No inspection completed or commissioned; 4=Not relevant; 5=Don't know"
certificates.csv,BUILDING_ENVIRONMENT,string,Building environment which is taken as the servicing strategy that contributes the largest proportion of the building's CO₂ emissions.
certificates.csv,ADDRESS,string,"Field containing the concatenation of address1, address2 and address3. Note that post code is recorded separately."
certificates.csv,LOCAL_AUTHORITY_LABEL,string,The name of the local authority area in which the building is located. This field is for additional information only and should not be relied upon: please refer to the Local Authority ONS Code.
certificates.csv,CONSTITUENCY_LABEL,string,The name of the parliamentary constituency in which the building is located. This field is for additional information only and should not be relied upon: please refer to the Constituency ONS Code.
certificates.csv,POSTTOWN,string,The post town of the property
certificates.csv,LODGEMENT_DATETIME,string,Date and time lodged on the Energy Performance of Buildings Register.
certificates.csv,PRIMARY_ENERGY_VALUE,integer,Displayed on the non-domestic EPC as primary energy use (kWh/m2 per year)
certificates.csv,UPRN,integer,The UPRN submitted by an assessor or alternatively from the department’s address matching algorithm.
certificates.csv,UPRN_SOURCE,string,"Populated with the values ""Energy Assessor"" or ""Address Matched"" to show how the UPRN was populated."
certificates.csv,REPORT_TYPE,integer,Type of assessment carried out of the building. 102: assessment using the SBEM (Simplified Building Energy Model) tool for non-domestic (non-residential) buildings.
recommendations.csv,PAYBACK_TYPE,string,
recommendations.csv,LMK_KEY,string,
recommendations.csv,RECOMMENDATION_ITEM,integer,
recommendations.csv,RECOMMENDATION_CODE,string,
recommendations.csv,RECOMMENDATION,string,
recommendations.csv,CO2_IMPACT,string,
